Timestamp,RequestID,LogStream,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2022-12-25 16:59:19.136,3b7c8537-8080-577b-94cd-d915032690e7,2022/12/25/[$LATEST]74aab8a145554abca0f5dac68a42353a,873.35,874.0,128,82
2022-12-25 16:59:18.994,42aa6365-b802-561f-9eed-3f473ba4cca5,2022/12/25/[$LATEST]f1841165aa80419f9730f4eb927cd02e,821.04,822.0,128,83
2022-12-25 16:59:18.974,60fb3b6c-290b-5511-8038-674eaaad50ad,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,850.95,851.0,128,83
2022-12-25 16:59:18.948,c420dfae-1081-518c-a8a1-838c9327e396,2022/12/25/[$LATEST]4d38d68d9b794584a5662b809cbcc740,810.33,811.0,128,83
2022-12-25 16:59:18.788,60eec075-59c9-52f2-a232-9c57da6c0c4d,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,792.57,793.0,128,82
2022-12-25 16:59:18.747,d18b6847-937b-5719-8048-346510dec9a6,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,823.45,824.0,128,83
2022-12-25 16:59:18.585,5e8f5309-44c2-58b5-9787-0f2bc767260a,2022/12/25/[$LATEST]151cb5e0a63043b4ad4f64296b7a02fe,822.62,823.0,128,83
2022-12-25 16:59:18.196,4e765b44-aafe-5bbd-a10c-0766295bbe01,2022/12/25/[$LATEST]74aab8a145554abca0f5dac68a42353a,828.94,829.0,128,82
2022-12-25 16:59:18.114,0dcfd14f-a395-5b1a-acf2-8d6d20304ea6,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,857.41,858.0,128,83
2022-12-25 16:59:17.948,1b3392d6-f9df-5860-a154-cef47a7a02da,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,822.03,823.0,128,82
2022-12-25 16:59:17.928,541bd443-641f-5671-a0ce-8861e7baf8ce,2022/12/25/[$LATEST]4d38d68d9b794584a5662b809cbcc740,838.4,839.0,128,83
2022-12-25 16:59:17.887,e4c50ee9-4847-583d-a5da-52cbcbe20d81,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,851.91,852.0,128,83
2022-12-25 16:59:17.814,20883987-fe22-5a4e-a304-65a57d868854,2022/12/25/[$LATEST]f1841165aa80419f9730f4eb927cd02e,877.37,878.0,128,83
2022-12-25 16:59:17.725,3ba7fae0-5849-5f3b-aae4-a6c2dbedfbc2,2022/12/25/[$LATEST]151cb5e0a63043b4ad4f64296b7a02fe,838.48,839.0,128,83
2022-12-25 16:59:17.631,04b5c23f-a074-5b8e-9f88-9e1d23d0af77,2022/12/25/[$LATEST]14f7fc1e06df44269caa414d51b280f0,827.47,828.0,128,82
2022-12-25 16:59:17.088,74d4d8a1-779c-5205-9fcc-8483f43866fc,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,802.04,803.0,128,82
2022-12-25 16:59:17.068,028e98ce-2d5d-550e-978d-c4ecaef900b2,2022/12/25/[$LATEST]4d38d68d9b794584a5662b809cbcc740,817.81,818.0,128,83
2022-12-25 16:59:16.967,0301fe0d-1004-5aa3-ab9c-a22f93a02f1f,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,835.36,836.0,128,82
2022-12-25 16:59:16.954,f160ae74-a65a-5169-9056-f25625f936f5,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,1238.68,1239.0,128,83
2022-12-25 16:59:16.805,806f9667-d5d4-56ca-8f27-ca455677bc70,2022/12/25/[$LATEST]151cb5e0a63043b4ad4f64296b7a02fe,793.0,794.0,128,83
2022-12-25 16:59:16.791,b0967612-1429-5ae7-800e-2a30978afe1e,2022/12/25/[$LATEST]14f7fc1e06df44269caa414d51b280f0,841.51,842.0,128,82
2022-12-25 16:59:16.734,6fd605eb-20ff-505d-9f49-59c9a35c45e1,2022/12/25/[$LATEST]f1841165aa80419f9730f4eb927cd02e,802.05,803.0,128,83
2022-12-25 16:59:16.536,24dbcdd5-bf6b-5061-8120-91f73cc8027b,2022/12/25/[$LATEST]74aab8a145554abca0f5dac68a42353a,869.79,870.0,128,82
2022-12-25 16:59:16.514,1fe4d651-df9e-5032-966c-8a735c3d94cb,2022/12/25/[$LATEST]88aafffcaa04449cb6bc7367398d7a4d,874.39,875.0,128,83
